,Name,Tags
112,LE SSERAFIM,k-pop Kpop Korean pop femalevocalists
113,Cage the Elephant,indierock alternative rock indie punkrock
114,Men I Trust,dreampop indie indiepop seenlive Canadian
115,Black Eyed Peas,Hip-Hop pop rnb rap hiphop
116,Eyedress,electronic experimental indie psychedelic pop
117,Ed Sheeran,acoustic british singer-songwriter easy-listening pop
118,Imagine Dragons,indie indierock alternative rock indiepop
119,Oasis,britpop rock british alternative indie
120,Fall Out Boy,poppunk rock emo alternative punk
121,Pixies,alternative indie rock alternativerock indierock
122,Surf Curse,Lo-Fi Surf GarageRock indie indierock
123,LIL PEEP,cloudrap emorap Hip-Hop rap emo
124,Pitbull,Hip-Hop rap Reggaeton hiphop Crunk
125,Mazzy Star,dreampop femalevocalists indie shoegaze alternative
126,Shakira,pop latin femalevocalists spanish rock
127,Juice WRLD,emorap Hip-Hop rap cloudrap trap
128,Lil Wayne,rap Hip-Hop DirtySouth hiphop southernrap
129,One Direction,pop british onedirection boyband Xfactor
130,Metallica,thrashmetal metal heavymetal hardrock rock
131,Tate McRae,pop Canadian electronic canada Alberta
132,Faye Webster,seenlive indie singer-songwriter indiefolk folk
133,Kid Cudi,Hip-Hop rap alternativerap hiphop House
134,The 1975,indie indierock seenlive british alternative
135,Avril Lavigne,pop poprock rock femalevocalists Canadian
136,MF DOOM,Hip-Hop undergroundhip-hop rap hiphop mfdoom
137,Madonna,pop dance femalevocalists 80s electronic
138,¥$,rap Hip-Hop hiphop trap KanyeWest
139,Lil Yachty,trap Hip-Hop rap hiphop PsychedelicRock
140,Billy Joel,classicrock singer-songwriter rock pop piano
141,The Marías,indiepop dreampop indie bedroompop alternative
142,Djo,psychedelicpop indie psychedelic indiepop PsychedelicRock
143,Slipknot,NuMetal metal heavymetal seenlive Nu-metal
144,Gunna,rap trap Hip-Hop atlanta hiphop
145,yeat,trap rap rage cloudrap plugg
146,Lisa,j-pop japanese Hip-Hop k-pop Kpop
147,Wallows,indie indierock seenlive rock alternative
148,Tears for Fears,newwave 80s pop synthpop rock
149,Muse,alternativerock rock alternative Progressiverock seenlive
150,d4vd,pop rnb rock dreampop seenlive
151,Frank Sinatra,jazz swing oldies vocaljazz easylistening
152,Lil Tecca,rap Hip-Hop trap hiphop newyork
153,The Rolling Stones,classicrock rock british 60s blues
154,Sade,soul femalevocalists jazz chillout pop
155,BTS,k-pop Korean Kpop bts pop
156,Tory Lanez,rnb Hip-Hop rap Canadian canada
157,Halsey,pop indiepop indie seenlive femalevocalists
158,Marina,pop indiepop femalevocalists post-hardcore british
159,Ken Carson,rage trap opium cloudrap seenlive
160,Usher,rnb Hip-Hop pop soul rap
161,The Notorious B.I.G.,Hip-Hop rap GangstaRap eastcoastrap hiphop
162,Shawn Mendes,pop Canadian folk seenlive acoustic
163,Amy Winehouse,soul jazz femalevocalists british singer-songwriter
164,Hotel Ugly,indie soul alternative USA over1millionlisteners
165,Florence + the Machine,indie femalevocalists british alternative indiepop
166,Noah Kahan,indie folk singer-songwriter seenlive acoustic
167,50 Cent,rap Hip-Hop GangstaRap hiphop 50Cent
168,Bring Me the Horizon,deathcore metalcore hardcore screamo metal
169,Big Thief,seenlive indierock indiefolk folk folkrock
170,Camila Cabello,pop femalevocalists cuba cuban dance
171,aespa,k-pop Kpop pop Korean hyperpop
172,Daryl Hall & John Oates,80s pop softrock classicrock rock
173,Addison Rae,pop queenofpop tiktok Queen mother
174,Bon Iver,folk indie singer-songwriter acoustic seenlive
175,Cocteau Twins,dreampop shoegaze post-punk ethereal alternative
176,Grimes,electronic dreampop experimental psychedelic Canadian
177,blink-182,punkrock poppunk punk rock alternative
178,Tommy Richman,rnb rap funk Hip-Hop alternativernb
179,Kate Bush,femalevocalists singer-songwriter pop alternative 80s
180,Chief Keef,Hip-Hop rap drill trap hiphop
181,2Pac,rap Hip-Hop GangstaRap WestCoastRap hiphop
182,Miguel,rnb soul r&b Hip-Hop seenlive
183,Trippie Redd,trap Hip-Hop rap cloudrap emorap
184,Sufjan Stevens,indie folk singer-songwriter alternative indierock
185,Melanie Martinez,pop indie indiepop femalevocalists alternative
186,VACATIONS,indie indiepop indierock dreampop soul
